,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
13,"Amsterdam, Netherlands",within an hour,100.0,100.0,t,De Pijp,1,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Private room in boat,Private room,1.0,1,18,t,5,90,46,6,4.8,4.88,4.7,4.87,4.84,4.93,4.71,t,140.46575342465752,140.46575342465752,16.326074836114735,1.0,2.0,0.66,18,48,66,30.054794520547944,18.08219178082192,1.5 baths,70.23287671232876,2.0,0.0,11.622815126159312
14,"Amsterdam, Netherlands",within a few hours,100.0,98.0,t,Slotervaart,2,"['email', 'phone']",t,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,2,8,t,5,239,42,2,4.58,4.66,4.88,4.74,4.74,4.32,4.47,f,66.43835616438356,66.43835616438356,16.671508153240598,2.0,2.0,1.76,11,22,279,53.19178082191781,76.43835616438356,1 shared bath,33.21917808219178,1.0,0.0,25.093197838898217
15,"Amsterdam, Netherlands",response not available,94.96734148204736,100.0,f,Oud-Zuid,3,"['email', 'phone']",f,"Amsterdam, North Holland, Netherlands",Entire rental unit,Entire home/apt,1.0,14,30,t,0,55,2,0,4.89,4.96,4.91,4.94,4.96,4.85,4.85,f,115.0,115.0,0.0,1.0,2.0,0.4,0,0,0,0.0,0.0,1 bath,57.5,2.0,0.0,0.0
16,"Amsterdam, Netherlands",within an hour,100.0,36.0,f,De Pijp,3,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Entire townhouse,Entire home/apt,4.0,2,1125,t,0,101,4,2,4.76,4.79,4.71,4.96,4.87,4.83,4.63,f,279.61095890410957,279.61095890410957,12.008325427489158,4.0,4.0,0.78,0,0,57,44.676712328767124,15.616438356164384,2.5 baths,69.90273972602739,1.0,0.0,4.294654785546986
17,"Amsterdam, Netherlands",within a day,100.0,100.0,f,Indische Buurt,2,"['email', 'phone']",f,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,3,15,t,0,21,0,0,4.76,4.76,4.81,4.81,4.86,4.33,4.52,f,200.0,200.0,0.0,1.0,3.0,0.16,0,0,0,0.0,0.0,1.5 baths,66.66666666666667,3.0,0.0,0.0
18,"Amsterdam, Netherlands",within a day,100.0,36.0,f,Oud-West,1,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Entire rental unit,Entire home/apt,1.0,3,21,t,1,63,3,0,4.76,4.82,4.66,4.9,4.92,4.69,4.53,f,148.17808219178082,148.17808219178082,8.56671052848995,1.0,2.0,0.54,2,2,238,94.6027397260274,65.20547945205479,1 bath,74.08904109589041,2.0,0.0,5.7813614549298915
19,"Amsterdam, Netherlands",response not available,94.96734148204736,100.0,t,Grachtengordel,4,"['email', 'phone']",t,neighbourhood not available,Room in boutique hotel,Private room,1.0,3,1124,t,0,268,5,0,4.58,4.64,4.76,4.76,4.7,4.96,4.39,t,87.84931506849315,87.84931506849315,4.5200142008332085,1.0,1.0,2.01,0,0,0,0.0,0.0,1.5 baths,87.84931506849315,1.0,0.0,5.145190030575772
20,"Amsterdam, Netherlands",within a day,100.0,83.0,f,Jordaan,1,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Entire condo,Entire home/apt,1.0,7,7,t,0,26,3,0,5.0,5.0,5.0,5.0,5.0,4.96,4.96,f,195.0,195.0,0.0,1.0,2.0,0.19,0,4,158,84.41095890410959,43.28767123287671,1 bath,97.5,2.0,0.0,0.0
21,"Amsterdam, Netherlands",response not available,94.96734148204736,80.17012104128669,f,Oud-West,1,"['email', 'phone']",f,"Amsterdam, North Holland, Netherlands",Entire rental unit,Entire home/apt,2.0,3,5,t,0,103,0,0,4.75,4.82,4.77,4.96,4.97,4.73,4.75,f,120.0,120.0,0.0,3.0,3.0,0.76,0,0,0,0.0,0.0,1 bath,40.0,1.0,0.0,0.0
22,"Amsterdam, Netherlands",within an hour,100.0,100.0,t,Rivierenbuurt,2,"['email', 'phone', 'work_email']",t,"Amsterdam, North Holland, Netherlands",Entire rental unit,Entire home/apt,2.0,21,100,t,9,31,4,1,4.53,4.75,4.36,4.82,4.89,4.64,4.41,t,343.3424657534247,343.3424657534247,15.998986212801869,2.0,3.0,0.23,9,25,300,286.56164383561645,82.1917808219178,1.5 baths,114.4474885844749,1.5,0.0,4.659774950265466
23,"Amsterdam, Netherlands",within a few hours,100.0,81.0,t,Oud-West,3,"['email', 'phone']",f,"Amsterdam, North Holland, Netherlands",Private room in rental unit,Private room,1.0,1,6,t,5,382,13,5,4.65,4.7,4.81,4.84,4.87,4.49,4.5,f,93.93698630136986,93.93698630136986,19.719290402283594,1.0,2.0,2.84,5,5,5,1.2602739726027397,1.36986301369863,1 shared bath,46.96849315068493,2.0,0.0,20.992040705904603
24,"Amsterdam, Netherlands",within an hour,100.0,99.0,t,Amsterdam Centrum,1,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Entire loft,Entire home/apt,1.0,2,1125,t,1,247,54,0,4.78,4.87,4.81,4.94,4.95,4.94,4.64,t,220.6054794520548,220.6054794520548,15.438925139191507,3.0,4.0,1.85,3,15,119,72.73698630136987,32.602739726027394,1 bath,55.1513698630137,1.3333333333333333,0.0,6.99843230437389
25,"Amsterdam, Netherlands",within an hour,100.0,100.0,t,Grachtengordel,2,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Private room in loft,Private room,1.0,3,31,t,2,658,51,4,4.96,4.96,4.98,4.99,4.98,4.95,4.89,t,121.47945205479452,121.47945205479452,2.724076560143752,1.0,2.0,4.92,2,2,2,0.6575342465753424,0.547945205479452,1 private bath,60.73972602739726,2.0,0.0,2.2424175562753033
26,"Amsterdam, Netherlands",response not available,94.96734148204736,62.0,t,De Wallen,1,"['email', 'phone']",f,"Amsterdam, North Holland, Netherlands",Private room in rental unit,Private room,1.0,3,50,t,0,175,6,0,4.82,4.87,4.77,4.88,4.84,4.89,4.74,f,130.6958904109589,130.6958904109589,10.92220792340192,2.0,3.0,1.33,0,0,0,0.0,0.0,1 private bath,43.56529680365296,1.5,0.0,8.356963550313813
27,"Amsterdam, Netherlands",within an hour,100.0,100.0,f,Amsterdam Centrum,2,"['email', 'phone']",f,neighbourhood not available,Private room in guest suite,Private room,1.0,2,760,t,4,15,5,0,5.0,5.0,4.93,5.0,5.0,5.0,4.57,f,300.0,300.0,0.0,1.0,2.0,0.12,21,21,232,190.68493150684932,63.561643835616444,1 private bath,150.0,2.0,0.0,0.0
28,"Amsterdam, Netherlands",within an hour,100.0,100.0,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Amsterdam, North Holland, Netherlands",Entire rental unit,Entire home/apt,1.0,3,21,t,0,138,3,0,4.71,4.82,4.77,4.87,4.88,4.54,4.54,f,119.4931506849315,119.4931506849315,5.4246164792556435,1.0,2.0,1.04,0,0,0,0.0,0.0,1.5 baths,59.74657534246575,2.0,0.0,4.539688214899255
29,"Amsterdam, Netherlands",within an hour,100.0,99.0,t,Grachtengordel,3,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Entire guest suite,Entire home/apt,2.0,2,180,t,2,156,44,5,4.84,4.9,4.88,4.86,4.88,4.97,4.62,t,791.8465753424657,791.8465753424657,191.47548410068381,3.0,4.0,1.24,2,13,274,656.3561643835617,75.06849315068493,1.5 baths,197.96164383561643,1.3333333333333333,0.0,24.180881759559618
30,"Amsterdam, Netherlands",within a day,100.0,96.0,t,Oud-West,1,"['email', 'phone']",t,neighbourhood not available,Private room in rental unit,Private room,1.0,2,365,t,1,368,25,1,4.86,4.93,4.88,4.94,4.95,4.86,4.74,f,121.84931506849315,121.84931506849315,4.5200142008332085,1.0,2.0,2.8,2,18,273,91.03287671232877,74.79452054794521,1.5 baths,60.92465753424658,2.0,0.0,3.709511373365084
31,"Amsterdam, Netherlands",within a day,100.0,100.0,f,Nieuwmarkt en Lastage,1,"['email', 'phone']",t,neighbourhood not available,Entire home,Entire home/apt,2.0,4,30,t,0,13,2,0,4.91,4.92,4.92,4.83,5.0,4.92,4.75,f,366.96438356164384,366.96438356164384,14.199959080027574,2.0,4.0,0.1,6,6,196,200.72876712328767,53.6986301369863,3.5 baths,91.74109589041096,2.0,0.0,3.8695741919712
